,BTC-USD,cash,value
2017-03-20,0.364538463813,0.635461536187,11528.2907004
2017-03-21,0.453611111111,0.546388888889,11822.6018597
2017-03-22,0.346111111111,0.653888888889,11454.2565625
2017-03-23,0.339002317201,0.660997682799,11417.3710986
2017-03-24,0.215555555556,0.784444444444,11058.5502053
2017-03-27,0.319087934242,0.680912065758,11322.310095
2017-03-28,0.319416384912,0.680583615088,11313.5736331
2017-03-29,0.305461969383,0.694538030617,11299.4378068
2017-03-30,0.354396376547,0.645603623453,11435.5295728
2017-03-31,0.36318504069,0.63681495931,11461.6893067
2017-04-03,0.436944444444,0.563055555556,11673.5520565
2017-04-04,0.420726369222,0.579273630778,11620.0718972
2017-04-05,0.486385735099,0.513614264901,11873.3877744
2017-04-06,0.48548200917,0.51451799083,11882.0539117
2017-04-07,0.47661421805,0.52338578195,11834.8421348
2017-04-10,0.533888888889,0.466111111111,12024.5741382
2017-04-11,0.525105915215,0.474894084785,11981.2276967
2017-04-12,0.459000329224,0.540999670776,11791.3208995
2017-04-13,0.46243042522,0.53756957478,11796.4452889
2017-04-14,0.463835483641,0.536164516359,11794.8352489
2017-04-17,0.503554605009,0.496445394991,11929.3036592
2017-04-18,0.533085753807,0.466914246193,11974.0171894
2017-04-19,0.557295460464,0.442704539536,12093.7847909
2017-04-20,0.585331028683,0.414668971317,12156.0372587
2017-04-21,0.576519920545,0.423480079455,12106.0430428
2017-04-24,0.602912849062,0.397087150938,12237.240212
2017-04-25,0.645157662842,0.354842337158,12366.5585956
2017-04-26,0.713333333333,0.286666666667,12652.0534522
2017-04-27,0.713201200219,0.286798799781,12629.7671529
2017-04-28,0.724062921951,0.275937078049,12674.6372517
2017-05-01,0.8925,0.1075,13423.8085469
2017-05-02,0.911156910402,0.0888430895977,13751.6616
2017-05-03,0.907161542578,0.0928384574216,14014.7472766
2017-05-04,0.892366714836,0.107633285164,13938.9916235
2017-05-05,0.908558556928,0.0914414430724,14248.1353532
2017-05-08,0.906824231041,0.093175768959,15522.9712434
2017-05-09,0.912626180439,0.0873738195607,15977.3886528
2017-05-10,0.908076963632,0.0919230363681,16534.5053004
2017-05-11,0.6925,0.3075,15430.7682635
2017-05-12,0.792359583638,0.207640416362,15918.1065573
2017-05-15,0.742378892196,0.257621107804,15670.6175391
2017-05-16,0.853055555556,0.146944444444,16151.4772795
2017-05-17,0.923611111111,0.0763888888889,16758.9174882
2017-05-18,0.908471186716,0.0915288132843,17424.9458545
2017-05-19,0.922314931877,0.0776850681226,18055.3572236
2017-05-22,0.911109856589,0.0888901434109,19951.6232812
2017-05-23,0.921402170205,0.0785978297954,21332.8503748
2017-05-24,0.7725,0.2275,20216.8996613
2017-05-25,0.701960850802,0.298039149198,19792.3317182
2017-05-26,0.512636918109,0.487363081891,18594.4737236
